time,open,high,low,close,Volume,Volume MA
1577577600,522.99994,545,520,537.06001,237.22311016,295.9158364820005
1577664000,536.22,548.6,525.00007,533.75006,327.59758439,305.9594069205005
1577750400,534.0508,569.99,525,529.95982,406.18350039,297.6105842025005
1577836800,529.9598,534.99999,525,526.16056,68.01555633,279.19682686300047
1577923200,526.50275,540,512,525.35584,231.48234248,281.5130201010005
1578009600,524.5384,549.13578,518.40001,547.71894,317.83165753,294.00619352600046
1578096000,547.19235,548.64999,537.50497,546.94,108.86498311,297.5044031125005
1578182400,548.33999,564.99999,545.01,550,258.73300381,286.73841114900046
1578268800,550,590,550,589.99999,390.16205868,277.1447633895005
1578355200,590,594.37,552.98,583.47,643.69170095,269.9788407800005
1578441600,580.39492,590,550,570.14375,691.66126653,281.66890834500043
1578528000,566.5,569.52866,551.58009,564.89999,183.45010029,281.4519492675005
1578614400,564.89917,586,555,585.99994,435.93609535,300.06477162100043
1578700800,586,595,575,583,353.01961071,311.36596689250047
1578787200,580.16025,592.99999,580.0001,589.12151,144.21654913,296.6469919185005
1578873600,591.50823,595,579.00001,589,318.89942414,305.90386122300043
1578960000,589,695,588,672.11988,1825.14109105,390.4383673460004
1579046400,672.11,698,650,685.99838,904.44229732,421.0212392960004
1579132800,680.78344,685.95969,650,679.99999,664.78588626,430.5872035660004
1579219200,674.50748,729.51,674.50748,716.3,956.24461115,473.3791214880004
1579305600,716.3,772.3,706.00036,732,802.72411909,501.6541719345005
1579392000,732.00999,737,680,694.60289,749.88356858,522.7684711440005
1579478400,695.53641,709.98,664.50001,701,481.3398139,526.5262868195006
1579564800,701,718,700,713.58,435.93058527,544.9220382665005
1579651200,710.99134,715.21,702.36601,706,223.52612689,544.5242274870005
